This document is about the different level components there exist for making the levels.

- Blank space 												'.'
- Exit														'X'
- Cookie													'°'
- Falling Object (lego tiles)								'f'
- Flying Enemy (Helicopter)									'F'	
- Circle Flying Enemy (Helicopter)							'Ǒ'								
- Enemy (Radio controlled car)								'A'
- Jumping Enemy	(piranhas)									'J'
- Enemy Dog													'd'
- Cat 														'C'
- Platform block (Bookshelf with books)						'~'
- Passable block 											':'
- Player 1 start point										'1'
- Impassable block Ground (Wooden floor)					'#'
- Impassable block Wall (Brick wall)						'='
- Impassable invisible block								'□'
- Spikes (Cactus)											'╩'
- Killing invisible block									'⌂'
- Platform invisible block									'¯'
- Moving platform -Horizontal (bookshelf)					'<'
- Moving platform -Vertical	(bookshelf)						'^'
- Controllable Moving platform -Horizontal (bookshelf)		'≤'
- Controllable Moving platform -Vertical (bookshelf)		'∆'
- Platform Collider											'|'
- Coontrollable Moving platform Switch -H (switch)			'┤'
- Coontrollable Moving platform Switch -V (switch)			'┴'
- Bouncy Platform (Tramboline)								'§'
- Dog														'd'
- Switch destroy wall 1 (switch)							'˥'
- Switch destroy wall 2	(switch)							'˦'
- Switch destroy wall 3	(switch)							'˧'
- Destroyable wall 1 (rock wall)							'░'
- Destroyable wall 2 (rock wall)							'▒'
- Destroyable wall 3 (rock wall)							'▓'







- Tutorial overlay 0							'ü'
- Tutorial overlay 1							'é'
- Tutorial overlay 2							'ä'
- Tutorial overlay 3							'ů'
- Tutorial overlay 4							'ç'
- Tutorial overlay 5							'ł'
- Tutorial overlay 6							'ë'
- Tutorial overlay 7							'Ő'
- Tutorial overlay 8							'Ź'

